# scheme: MilevTaglianiCN
# effective_scheme: MilevTaglianiCN
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: 0.001
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
node,S,lower,upper
1,50.3495312228265,308.921635009482,316.098971063826
2,50.7015058871677,308.921635009482,316.098971063826
3,51.0559410742055,308.921635009482,316.098971063826
4,51.41285398453,308.921635009482,316.098971063826
5,51.7722619389743,308.921635009482,316.098971063826
6,52.1341823794548,308.921635009482,316.098971063826
7,52.4986328698179,308.921635009482,316.098971063826
8,52.8656310966921,308.921635009482,316.098971063826
9,53.2351948703466,308.921635009482,316.098971063826
10,53.6073421255554,308.921635009482,316.098971063826
11,53.9820909224679,308.921635009482,316.098971063826
12,54.3594594474852,308.921635009482,316.098971063826
13,54.7394660141426,308.921635009482,316.098971063826
14,55.1221290639985,308.921635009482,316.098971063826
15,55.5074671675294,308.921635009482,316.098971063826
16,55.8954990250308,308.921635009482,316.098971063826
17,56.2862434675252,308.921635009482,316.098971063826
18,56.6797194576755,308.921635009482,316.098971063826
19,57.0759460907057,308.921635009482,316.098971063826
20,57.474942595327,308.921635009482,316.098971063826
21,57.8767283346716,308.921635009482,316.098971063826
22,58.2813228072319,308.921635009482,316.098971063826
23,58.6887456478071,308.921635009482,316.098971063826
24,59.0990166284558,308.921635009482,316.098971063826
25,59.5121556594556,308.921635009482,316.098971063826
26,59.9281827902695,308.921635009482,316.098971063826
27,60.3471182105186,308.921635009482,316.098971063826
28,60.7689822509622,308.921635009482,316.098971063826
29,61.1937953844843,308.921635009482,316.098971063826
30,61.621578227087,308.921635009482,316.098971063826
31,62.0523515388913,308.921635009482,316.098971063826
32,62.4861362251443,308.921635009482,316.098971063826
33,62.9229533372339,308.921635009482,316.098971063826
34,63.3628240737104,308.921635009482,316.098971063826
35,63.8057697813149,308.921635009482,316.098971063826
36,64.251811956016,308.921635009482,316.098971063826
37,64.7009722440521,308.921635009482,316.098971063826
38,65.1532724429827,308.921635009482,316.098971063826
39,65.6087345027457,308.921635009482,316.098971063826
40,66.0673805267226,308.921635009482,316.098971063826
41,66.5292327728116,308.921635009482,316.098971063826
42,66.9943136545075,308.921635009482,316.098971063826
43,67.4626457419892,308.921635009482,316.098971063826
44,67.9342517632154,308.921635009482,316.098971063826
45,68.4091546050275,308.921635009482,316.098971063826
46,68.88737731426,308.921635009482,316.098971063826
47,69.3689430988593,308.921635009482,316.098971063826
48,69.8538753290099,308.921635009482,316.098971063826
49,70.3421975382684,308.921635009482,316.098971063826
50,70.8339334247055,308.921635009482,316.098971063826
51,71.3291068520565,308.921635009482,316.098971063826
52,71.827741850879,308.921635009482,316.098971063826
53,72.3298626197192,308.921635009482,316.098971063826
54,72.8354935262861,308.921635009482,316.098971063826
55,73.3446591086344,308.921635009482,316.098971063826
56,73.8573840763552,308.921635009482,316.098971063826
57,74.3736933117748,308.921635009482,316.098971063826
58,74.8936118711626,308.921635009482,316.098971063826
59,75.4171649859471,308.921635009482,316.098971063826
60,75.9443780639401,308.921635009482,316.098971063826
61,76.4752766905699,308.921635009482,316.098971063826
62,77.0098866301229,308.921635009482,316.098971063826
63,77.5482338269941,308.921635009482,316.098971063826
64,78.0903444069459,308.921635009482,316.098971063826
65,78.636244678376,308.921635009482,316.098971063826
66,79.1859611335944,308.921635009482,316.098971063826
67,79.7395204501089,308.921635009482,316.098971063826
