# scheme: StandardCentral
# effective_scheme: StandardCentral
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: sweep
# sigmaMin: 0.001
# sigmaMax: 0.5
# nSigma: 50
# sweepSpacing: log
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
sigma,lower,upper
0.001,-3.57836499054521,3.59897106379941
0.00113522257916955,-3.57537982996937,3.60193550102379
0.00128873030425637,-3.57153276307222,3.60575586110991
0.00146299573985187,-3.56657493137936,3.61067927492606
0.00166082579710871,-3.56018562343336,3.61702422751133
0.00188540694494507,-3.55195152866013,3.62520116018704
0.00214035653482473,-3.54134000119775,3.6357390211221
0.00242978106580613,-3.52766460418253,3.64931948185114
0.00275834232834177,-3.51004070562628,3.66682103313842
0.00313133249221269,-3.48732825347771,3.68937581265383
0.00355475934804711,-3.45805802810986,3.71844284052116
0.00403544307541711,-3.42033660166591,3.75590240018846
0.00458112609616691,-3.37172385628781,3.80417766991581
0.00520059778239154,-3.30907513814595,3.86639147295959
0.00590383602774997,-3.22833783655372,3.94656828628515
0.00670216796241643,-3.12428922930793,4.0498945753165
0.00760845240032191,-2.99019863603461,4.18305429521755
0.0086372869573822,-2.81739202496757,4.35466126156033
0.00980524317678694,-2.59469090850963,4.57581635950777
0.0111311334485367,-2.30768923093855,4.86082563617343
0.0126363140225283,-1.9378214716803,5.22812572800664
0.0143450289958509,-1.46116168175678,5.70147648710825
0.0162848008149319,-0.846875765661879,6.31149795490525
0.0184868735823894,-0.0552268901124906,7.09765110670219
0.0209867163089815,0.964995006138483,8.11079049720956
0.0238245942165816,2.27978588090301,9.41645393219224
0.0270462172942158,3.97419672497179,11.0991019680139
0.0307034765535197,6.15783532758383,13.2675814831747
0.0348552798425585,8.971956568314,16.0621667485216
0.0395685006805457,12.5985998910945,19.6636334678024
0.0449190553964412,17.2723650438907,24.3049527687104
0.0509931259210079,23.2955878312766,30.2863616035205
0.0578885479279642,31.0578975666683,37.9947844310869
0.0657163866831637,41.0614213536918,47.9288625269935
0.0746027259841646,53.9532656073784,60.7312100140376
0.0846906990048227,70.5673759748576,77.2299831862117
0.0961427937559269,91.978483483688,98.4924521562444
0.109143470296169,119.571626578009,125.894040261236
0.123902131849133,155.131746273342,161.20729723689
0.140656497682378,200.959150147702,206.716561643407
0.159676432075945,260.018314285985,265.365729808502
0.181268291053846,336.129648855041,340.948690142287
0.205779856891804,434.216632211579,438.354741609843
0.233605939881855,560.624300116239,563.884871954038
0.265194737582006,723.52969243535,725.659355025853
0.301055053980037,933.47080824376,934.14303381591
0.341764494851246,1204.02828629545,1202.82226861551
0.38797877131361,1552.70390730385,1549.07734062616
0.44044226143367,2002.05274645277,1995.30674492876
0.5,2581.14221264641,2570.37610090378
