# scheme: ExponentialFitting
# effective_scheme: ExponentialFitting
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: sweep
# sigmaMin: 0.001
# sigmaMax: 0.5
# nSigma: 50
# sweepSpacing: log
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
# h: 0.0069663033222105
sigma,a_eff,a_base,ratio
0.001,0.00017415584147944,5e-07,348.311682958879
0.00113522257916955,0.00017415533863372,6.44365152128183e-07,270.274297203266
0.00128873030425637,0.000174154690601203,8.30412898554353e-07,209.720599119287
0.00146299573985187,0.00017415385546206,1.07017826741236e-06,162.733500357053
0.00166082579710871,0.000174152779192939,1.37917116417089e-06,126.273506666327
0.00188540694494507,0.000174151392172306,1.77737967402355e-06,97.9820995578676
0.00214035653482473,0.000174149604676784,2.29056304808346e-06,76.029168820521
0.00242978106580613,0.000174147301077137,2.95191801387498e-06,58.994626632104
0.00275834232834177,0.000174144332358462,3.80422620016095e-06,45.7765451358002
0.00313133249221269,0.000174140506480741,4.90262158839347e-06,35.519875099682
0.00355475934804711,0.000174135575956181,6.31815701126415e-06,27.5611346229175
0.00403544307541711,0.000174129221839765,8.14240040746594e-06,21.3854899201595
0.00458112609616691,0.000174121033097385,1.04933581544907e-05,16.5934518324687
0.00520059778239154,0.000174110480019207,1.35231086471079e-05,12.8750337339368
0.00590383602774997,0.000174096880674949,1.74276399212792e-05,9.98969920547736
0.00670216796241643,0.000174079417607602,2.24595276982206e-05,7.75080491213508
0.00760845240032191,0.000174058847624203,2.89442739639821e-05,6.01358485760601
0.0086372869573822,0.000174058511931067,3.73013629920823e-05,4.6662775290011
0.00980524317678694,0.000174240227250332,4.80713968779634e-05,3.6246133577659
0.0111311334485367,0.000175213120880773,6.19510659245663e-05,2.82825030152214
0.0126363140225283,0.000178400022696812,7.98382160379726e-05,2.23451915072804
0.0143450289958509,0.000186072112239239,0.000102889928445902,1.80845798077382
0.0162848008149319,0.000200975686680795,0.000132597368791003,1.5156838217323
0.0184868735823894,0.00022596243503326,0.000170882247425623,1.32232831928086
0.0209867163089815,0.000263951207466523,0.000220221130716835,1.19857348206025
0.0238245942165816,0.000318182060816122,0.000283805644792388,1.12112661130782
0.0270462172942158,0.000392591401840034,0.000365748934962968,1.07339041706241
0.0307034765535197,0.000492213197471904,0.000471351736236267,1.0442587979037
0.0348552798425585,0.000623601062228342,0.000607445266451532,1.0265962987434
0.0395685006805457,0.000795307049869382,0.000782833123053173,1.01593433702391
0.0449190553964412,0.0010184636262172,0.00100886076885428,1.00951851599288
0.0509931259210079,0.00130751818460284,0.00130014944559788,1.00566760923516
0.0578885479279642,0.00168117460702953,0.00167554199060411,1.00336166831808
0.0657163866831637,0.00216360651860782,0.00215932173934555,1.00198431719748
0.0746027259841646,0.0027860226069601,0.00278278336213418,1.00116403054222
0.0846906990048227,0.00358868618695445,0.00358625724896273,1.00067729050737
0.0961427937559269,0.00462352009471382,0.00462171839559735,1.00038983316642
0.109143470296169,0.00595746562568353,0.00595614855414541,1.00022112805383
0.123902131849133,0.0076768128979532,0.00767586913837993,1.00012295149334
0.140656497682378,0.00989278280895249,0.00989212517013642,1.00006648104475
0.159676432075945,0.0127487216918663,0.012748281480252,1.00003453105542
0.181268291053846,0.0164293740886512,0.0164290966707909,1.00001688576468
0.205779856891804,0.0211728334800424,0.0211726747512056,1.0000074968722
0.233605939881855,0.0272859440417042,0.0272858675740424,1.00000280246401
0.265194737582006,0.035164149733967,0.0351641244205945,1.00000071986358
0.301055053980037,0.045317074720487,0.0453170727634615,1.00000004318517
0.341764494851246,0.0584014898582446,0.0584014849704637,1.00000008369275
0.38797877131361,0.0752637977902328,0.0752637634950092,1.00000045566714
0.44044226143367,0.096994784910052,0.0969946928284025,1.0000009493473
0.5,0.125000181985129,0.125,1.00000145588104
