# scheme: StandardCentral
# effective_scheme: StandardCentral
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: 0.001
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
# h: 0.0069663033222105
node,S,aUsed
1,50.3495312228265,5.00000000000001e-07
2,50.7015058871677,5.00000000000001e-07
3,51.0559410742055,5.00000000000001e-07
4,51.41285398453,5.00000000000001e-07
5,51.7722619389743,5.00000000000001e-07
6,52.1341823794548,5.00000000000001e-07
7,52.4986328698179,5.00000000000001e-07
8,52.8656310966921,5.00000000000001e-07
9,53.2351948703466,5.00000000000001e-07
10,53.6073421255554,5.00000000000001e-07
11,53.9820909224679,5.00000000000001e-07
12,54.3594594474852,5.00000000000001e-07
13,54.7394660141426,5.00000000000001e-07
14,55.1221290639985,5.00000000000001e-07
15,55.5074671675294,5.00000000000001e-07
16,55.8954990250308,5.00000000000001e-07
17,56.2862434675252,5.00000000000001e-07
18,56.6797194576755,5.00000000000001e-07
19,57.0759460907057,5.00000000000001e-07
20,57.474942595327,5.00000000000001e-07
21,57.8767283346716,5.00000000000001e-07
22,58.2813228072319,5.00000000000001e-07
23,58.6887456478071,5.00000000000001e-07
24,59.0990166284558,5.00000000000001e-07
25,59.5121556594556,5.00000000000001e-07
26,59.9281827902695,5.00000000000001e-07
27,60.3471182105186,5.00000000000001e-07
28,60.7689822509622,5.00000000000001e-07
29,61.1937953844843,5.00000000000001e-07
30,61.621578227087,5.00000000000001e-07
31,62.0523515388913,5.00000000000001e-07
32,62.4861362251443,5.00000000000001e-07
33,62.9229533372339,5.00000000000001e-07
34,63.3628240737104,5.00000000000001e-07
35,63.8057697813149,5.00000000000001e-07
36,64.251811956016,5.00000000000001e-07
37,64.7009722440521,5.00000000000001e-07
38,65.1532724429827,5.00000000000001e-07
39,65.6087345027457,5.00000000000001e-07
40,66.0673805267226,5.00000000000001e-07
41,66.5292327728116,5.00000000000001e-07
42,66.9943136545075,5.00000000000001e-07
43,67.4626457419892,5.00000000000001e-07
44,67.9342517632154,5.00000000000001e-07
45,68.4091546050275,5.00000000000001e-07
46,68.88737731426,5.00000000000001e-07
47,69.3689430988593,5.00000000000001e-07
48,69.8538753290099,5.00000000000001e-07
49,70.3421975382684,5.00000000000001e-07
50,70.8339334247055,5.00000000000001e-07
51,71.3291068520565,5.00000000000001e-07
52,71.827741850879,5.00000000000001e-07
53,72.3298626197192,5.00000000000001e-07
54,72.8354935262861,5.00000000000001e-07
55,73.3446591086344,5.00000000000001e-07
56,73.8573840763552,5.00000000000001e-07
57,74.3736933117748,5.00000000000001e-07
58,74.8936118711626,5.00000000000001e-07
59,75.4171649859471,5.00000000000001e-07
60,75.9443780639401,5.00000000000001e-07
61,76.4752766905699,5.00000000000001e-07
62,77.0098866301229,5.00000000000001e-07
63,77.5482338269941,5.00000000000001e-07
64,78.0903444069459,5.00000000000001e-07
65,78.636244678376,5.00000000000001e-07
66,79.1859611335944,5.00000000000001e-07
67,79.7395204501089,5.00000000000001e-07
68,80.2969494919195,5.00000000000001e-07
69,80.8582753108225,5.00000000000001e-07
70,81.4235251477232,5.00000000000001e-07
71,81.9927264339579,5.00000000000001e-07
72,82.5659067926247,5.00000000000001e-07
73,83.1430940399249,5.00000000000001e-07
74,83.724316186512,5.00000000000001e-07
75,84.3096014388518,5.00000000000001e-07
76,84.8989782005906,5.00000000000001e-07
77,85.4924750739342,5.00000000000001e-07
78,86.0901208610353,5.00000000000001e-07
79,86.6919445653922,5.00000000000001e-07
80,87.2979753932553,5.00000000000001e-07
81,87.908242755045,5.00000000000001e-07
82,88.5227762667791,5.00000000000001e-07
83,89.1416057515097,5.00000000000001e-07
84,89.7647612407706,5.00000000000001e-07
85,90.3922729760349,5.00000000000001e-07
86,91.0241714101827,5.00000000000001e-07
87,91.6604872089782,5.00000000000001e-07
88,92.3012512525588,5.00000000000001e-07
89,92.9464946369333,5.00000000000001e-07
90,93.5962486754911,5.00000000000001e-07
91,94.2505449005215,5.00000000000001e-07
92,94.9094150647445,5.00000000000001e-07
93,95.5728911428511,5.00000000000001e-07
94,96.2410053330557,5.00000000000001e-07
95,96.9137900586581,5.00000000000001e-07
96,97.5912779696172,5.00000000000001e-07
97,98.2735019441358,5.00000000000001e-07
98,98.9604950902554,5.00000000000001e-07
99,99.6522907474637,5.00000000000001e-07
100,100.348922488312,5.00000000000001e-07
101,101.050424120046,5.00000000000001e-07
102,101.756829686242,5.00000000000001e-07
103,102.468173468466,5.00000000000001e-07
104,103.18448998793,5.00000000000001e-07
105,103.905814007175,5.00000000000001e-07
106,104.632180531749,5.00000000000001e-07
107,105.363624811914,5.00000000000001e-07
108,106.100182344353,5.00000000000001e-07
109,106.841888873892,5.00000000000001e-07
110,107.588780395236,5.00000000000001e-07
111,108.340893154715,5.00000000000001e-07
112,109.098263652045,5.00000000000001e-07
113,109.860928642096,5.00000000000001e-07
114,110.628925136679,5.00000000000001e-07
115,111.402290406339,5.00000000000001e-07
116,112.181061982167,5.00000000000001e-07
117,112.965277657619,5.00000000000001e-07
118,113.754975490351,5.00000000000001e-07
119,114.550193804066,5.00000000000001e-07
120,115.350971190373,5.00000000000001e-07
121,116.157346510661,5.00000000000001e-07
122,116.969358897984,5.00000000000001e-07
123,117.787047758961,5.00000000000001e-07
124,118.610452775688,5.00000000000001e-07
125,119.439613907662,5.00000000000001e-07
126,120.274571393723,5.00000000000001e-07
127,121.115365754007,5.00000000000001e-07
128,121.962037791909,5.00000000000001e-07
129,122.814628596065,5.00000000000001e-07
130,123.673179542348,5.00000000000001e-07
131,124.537732295874,5.00000000000001e-07
132,125.408328813023,5.00000000000001e-07
133,126.285011343476,5.00000000000001e-07
134,127.167822432267,5.00000000000001e-07
135,128.056804921845,5.00000000000001e-07
136,128.952001954157,5.00000000000001e-07
137,129.853456972737,5.00000000000001e-07
138,130.761213724815,5.00000000000001e-07
139,131.675316263446,5.00000000000001e-07
140,132.595808949638,5.00000000000001e-07
141,133.522736454515,5.00000000000001e-07
142,134.456143761477,5.00000000000001e-07
143,135.396076168387,5.00000000000001e-07
144,136.342579289768,5.00000000000001e-07
145,137.295699059017,5.00000000000001e-07
146,138.255481730636,5.00000000000001e-07
147,139.221973882472,5.00000000000001e-07
148,140.195222417981,5.00000000000001e-07
149,141.175274568505,5.00000000000001e-07
150,142.162177895561,5.00000000000001e-07
151,143.155980293151,5.00000000000001e-07
152,144.156729990087,5.00000000000001e-07
153,145.164475552329,5.00000000000001e-07
154,146.179265885345,5.00000000000001e-07
155,147.201150236481,5.00000000000001e-07
156,148.230178197354,5.00000000000001e-07
157,149.266399706256,5.00000000000001e-07
158,150.309865050581,5.00000000000001e-07
159,151.360624869261,5.00000000000001e-07
160,152.418730155228,5.00000000000001e-07
161,153.484232257885,5.00000000000001e-07
162,154.557182885598,5.00000000000001e-07
163,155.637634108211,5.00000000000001e-07
164,156.725638359565,5.00000000000001e-07
165,157.821248440046,5.00000000000001e-07
166,158.924517519152,5.00000000000001e-07
167,160.035499138063,5.00000000000001e-07
168,161.154247212251,5.00000000000001e-07
169,162.280816034087,5.00000000000001e-07
170,163.41526027548,5.00000000000001e-07
171,164.557634990533,5.00000000000001e-07
172,165.707995618206,5.00000000000001e-07
173,166.866397985018,5.00000000000001e-07
174,168.032898307745,5.00000000000001e-07
