# scheme: StandardCentral
# effective_scheme: StandardCentral
# xGrid: 800
# tGrid: 200
# r: 0.05
# q: 0
# sigma: 0.001
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
# lower_barrier: 95
# upper_barrier: 110
# n_monitoring: 5
S,price
90,2.78722367455933e-52
90.1,1.07266760208596e-50
90.2,6.60699554414264e-50
90.3,2.46967488165284e-48
90.4,9.04414213945923e-47
90.5,3.24176701553816e-45
90.6,1.1361889639061e-43
90.7,3.88965649656592e-42
90.8,2.25507083269768e-41
90.8999999999999,7.43651245357622e-40
90.9999999999999,2.38816522884444e-38
91.0999999999999,7.45854740004568e-37
91.1999999999999,2.26205274209848e-35
91.2999999999999,1.23150638004554e-34
91.3999999999999,3.56344495628596e-33
91.4999999999999,9.97109315442233e-32
91.5999999999999,2.69290411069722e-30
91.6999999999999,7.00486545798957e-29
91.7999999999999,3.52024687853735e-28
91.8999999999999,8.61852345476402e-27
91.9999999999999,2.02007913841011e-25
92.0999999999999,4.5202066114306e-24
92.1999999999999,9.62643565130781e-23
92.2999999999999,4.3562240943571e-22
92.3999999999999,8.55850761396366e-21
92.4999999999999,1.58582953949056e-19
92.5999999999999,2.75942353412301e-18
92.6999999999998,1.12260357268539e-17
92.7999999999998,1.76159157402027e-16
92.8999999999998,2.56273545553598e-15
92.9999999999998,3.43521008185154e-14
93.0999999999998,4.21400142187467e-13
93.1999999999998,1.42434308001882e-12
93.2999999999998,1.50783586005362e-11
93.3999999999998,1.43150872135523e-10
93.4999999999998,1.2075242300845e-09
93.5999999999998,3.34492337365199e-09
93.6999999999998,2.3209523526187e-08
93.7999999999998,1.3984330589741e-07
93.8999999999998,7.27646356946235e-07
93.9999999999998,1.57090513478117e-06
94.0999999999998,6.59409838146815e-06
94.1999999999998,2.44825102307411e-05
94.2999999999998,8.27283820462099e-05
94.3999999999997,0.000148043341463699
94.4999999999997,0.000452926683358669
94.5999999999997,0.00130222094088512
94.6999999999997,0.00350012181829683
94.7999999999997,0.00558864158744577
94.8999999999997,0.0134836869400833
94.9999999999997,0.0301152593784667
95.0999999999997,0.0619853342557606
95.1999999999997,0.0861206666078659
95.2999999999997,0.155473614134807
95.3999999999997,0.255876793203685
95.4999999999997,0.316811891160188
95.5999999999997,0.452466499609641
95.6999999999997,0.590710397900725
95.7999999999997,0.714795721304981
95.8999999999997,0.769944418177768
95.9999999999997,0.873299220280691
96.0999999999997,0.982269415350801
96.1999999999996,1.04214334844289
96.2999999999996,1.16816433293758
96.3999999999996,1.28919589654632
96.4999999999996,1.40044251044403
96.5999999999996,1.45610220488102
96.6999999999996,1.57448990177525
96.7999999999996,1.69721756338548
96.8999999999996,1.75624927564039
96.9999999999996,1.86992081281884
97.0999999999996,1.98737823507215
97.1999999999996,2.04832283684824
97.2999999999996,2.16796046286426
97.3999999999996,2.28333518412029
97.4999999999996,2.40266040302
97.5999999999996,2.46326727597587
97.6999999999996,2.58125772261922
97.7999999999996,2.69878378308241
97.8999999999996,2.75914265582413
97.9999999999995,2.87901436018005
98.0999999999995,2.99666700382445
98.1999999999995,3.05663360571443
98.2999999999995,3.17713292583316
98.3999999999995,3.29548131308722
98.4999999999995,3.35540391260269
98.5999999999995,3.4760883012593
98.6999999999995,3.59506679687717
98.7999999999995,3.65519917573094
98.8999999999995,3.77596467346886
98.9999999999995,3.89551305002736
99.0999999999995,3.95596427879617
99.1999999999995,4.07670775823369
99.2999999999995,4.1969457540313
99.3999999999995,4.25765856008434
99.4999999999995,4.37831660725262
99.5999999999995,4.49939974049137
99.6999999999994,4.5601315514886
99.7999999999994,4.68096733833612
99.8999999999994,4.80267600353226
99.9999999999994,4.8632702472152
100.099999999999,4.98482189841792
100.199999999999,5.10657365014423
100.299999999999,5.16737003508859
100.399999999999,5.28955802059321
100.499999999999,5.35045309020564
100.599999999999,5.4727071588651
100.699999999999,5.59492558484356
100.799999999999,5.65615767627969
100.899999999999,5.77877740878304
100.999999999999,5.90146567137571
101.099999999999,5.96292369567062
101.199999999999,6.08574493356468
101.299999999999,6.14735397712325
101.399999999999,6.27039771030758
101.499999999999,6.39378308577922
101.599999999999,6.45541227077824
101.699999999999,6.57901505479034
101.799999999999,6.70262320387713
101.899999999999,6.76457405571057
101.999999999999,6.88840885729362
102.099999999999,6.95046925031794
102.199999999999,7.07453897192891
102.299999999999,7.19884774360598
102.399999999999,7.26101073996571
102.499999999999,7.38554305358163
102.599999999999,7.44782330412086
102.699999999999,7.57257640536502
102.799999999999,7.69747035359777
102.899999999999,7.75994879777707
102.999999999999,7.88507356381207
103.099999999999,7.94765806412578
103.199999999999,8.07299932594049
103.299999999999,8.19841138277838
103.399999999999,8.26113513124849
103.499999999999,8.3864046344799
103.599999999999,8.44877219618505
103.699999999999,8.57203223984774
103.799999999999,8.6899117663073
103.899999999999,8.74424968355628
103.999999999999,8.83240375793397
104.099999999999,8.85791582957029
104.199999999999,8.83570808757918
104.299999999999,8.632478646786
104.399999999999,8.41787483440618
104.499999999999,7.64449506401065
104.599999999999,7.0367782167386
104.699999999999,5.29981229063762
104.799999999999,4.18065037865529
104.899999999999,1.6447448286319
104.999999999999,-0.698407344304199
105.099999999999,-1.51292721480057
105.199999999999,-1.96816209335557
105.299999999999,-1.58092682021991
105.399999999999,-0.0812854446470672
105.499999999999,0.645176115160728
105.599999999999,1.13765444507802
105.699999999999,0.791106525086785
105.799999999999,-0.440208152433813
105.899999999999,-0.895993950609156
105.999999999999,-0.570230490387131
106.099999999999,0.43237009122543
106.199999999999,0.627185434826576
