# scheme: ExponentialFitting
# effective_scheme: ExponentialFitting
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: sweep
# sigmaMin: 0.001
# sigmaMax: 0.5
# nSigma: 50
# sweepSpacing: log
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
sigma,lower,upper
0.001,-4.44089209850063e-16,7.17733605434462
0.00113522257916955,4.44089209850063e-16,7.17731533099316
0.00128873030425637,4.44089209850063e-16,7.17728862418213
0.00146299573985187,0,7.17725420630542
0.00166082579710871,-4.44089209850063e-16,7.17720985094469
0.00188540694494507,0,7.17715268884718
0.00214035653482473,-4.44089209850063e-16,7.17707902231985
0.00242978106580613,0,7.17698408603367
0.00275834232834177,0,7.1768617387647
0.00313133249221269,-4.44089209850063e-16,7.17670406613154
0.00355475934804711,0,7.17650086863103
0.00403544307541711,0,7.17623900185437
0.00458112609616691,2.75335310107039e-14,7.17590152620364
0.00520059778239154,4.70690153520081e-11,7.17546661115261
0.00590383602774997,1.50964134526532e-08,7.17490613793528
0.00670216796241643,1.32895864446425e-06,7.17418513358307
0.00760845240032191,4.28990600123136e-05,7.17329583031217
0.0086372869573822,0.00063580410480002,7.1726890906327
0.00980524317678694,0.00515325254023713,7.17566052055764
0.0111311334485367,0.0261969704103531,7.19471183752233
0.0126363140225283,0.0931503363981236,7.25909753608506
0.0143450289958509,0.252896490933105,7.41553465979814
0.0162848008149319,0.562132861774192,7.72050658234132
0.0184868735823894,1.0797594905856,8.23263748740028
0.0209867163089815,1.86610017105438,9.01189566212546
0.0238245942165816,2.98814882770495,10.1248168789942
0.0270462172942158,4.52731456376406,11.6522198068062
0.0307034765535197,6.58770812599503,13.6974542815859
0.0348552798425585,9.30486407957086,16.3950742597784
0.0395685006805457,12.8556385408368,19.9206721175447
0.0449190553964412,17.4702422261608,24.5028299509805
0.0509931259210079,23.4474286070038,30.4382023792476
0.0578885479279642,31.1739636733434,38.110850537762
0.0657163866831637,41.1497138290482,48.0171550023499
0.0746027259841646,54.0200137235496,60.7979581302087
0.0846906990048227,70.6174268490448,77.2800340603988
0.0961427937559269,92.0156094276642,98.5295781002206
0.109143470296169,119.598766250604,125.921179933832
0.123902131849133,155.151193452243,161.226744415791
0.140656497682378,200.972701501321,206.730112997026
0.159676432075945,260.027385318756,265.374800841273
0.181268291053846,336.135365347792,340.954406635038
0.205779856891804,434.219902989617,438.358012387881
0.233605939881855,560.625875814481,563.886447652279
0.265194737582006,723.530214044557,725.65987663506
0.301055053980037,933.470848570371,934.14307414252
0.341764494851246,1204.02838701343,1202.82236933348
0.38797877131361,1552.70461399374,1549.07804731605
0.44044226143367,2002.05464389399,1995.30864236997
0.5,2581.14596264532,2570.37985090269
