# scheme: StandardCentral
# effective_scheme: StandardCentral
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: 0.001
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
node,S,lower,upper
1,50.3495312228265,-3.57836499054521,3.59897106379941
2,50.7015058871677,-3.57836499054521,3.59897106379941
3,51.0559410742055,-3.57836499054521,3.59897106379941
4,51.41285398453,-3.57836499054521,3.59897106379941
5,51.7722619389743,-3.57836499054521,3.59897106379941
6,52.1341823794548,-3.57836499054521,3.59897106379941
7,52.4986328698179,-3.57836499054521,3.59897106379941
8,52.8656310966921,-3.57836499054521,3.59897106379941
9,53.2351948703466,-3.57836499054521,3.59897106379941
10,53.6073421255554,-3.57836499054521,3.59897106379941
11,53.9820909224679,-3.57836499054521,3.59897106379941
12,54.3594594474852,-3.57836499054521,3.59897106379941
13,54.7394660141426,-3.57836499054521,3.59897106379941
14,55.1221290639985,-3.57836499054521,3.59897106379941
15,55.5074671675294,-3.57836499054521,3.59897106379941
16,55.8954990250308,-3.57836499054521,3.59897106379941
17,56.2862434675252,-3.57836499054521,3.59897106379941
18,56.6797194576755,-3.57836499054521,3.59897106379941
19,57.0759460907057,-3.57836499054521,3.59897106379941
20,57.474942595327,-3.57836499054521,3.59897106379941
21,57.8767283346716,-3.57836499054521,3.59897106379941
22,58.2813228072319,-3.57836499054521,3.59897106379941
23,58.6887456478071,-3.57836499054521,3.59897106379941
24,59.0990166284558,-3.57836499054521,3.59897106379941
25,59.5121556594556,-3.57836499054521,3.59897106379941
26,59.9281827902695,-3.57836499054521,3.59897106379941
27,60.3471182105186,-3.57836499054521,3.59897106379941
28,60.7689822509622,-3.57836499054521,3.59897106379941
29,61.1937953844843,-3.57836499054521,3.59897106379941
30,61.621578227087,-3.57836499054521,3.59897106379941
31,62.0523515388913,-3.57836499054521,3.59897106379941
32,62.4861362251443,-3.57836499054521,3.59897106379941
33,62.9229533372339,-3.57836499054521,3.59897106379941
34,63.3628240737104,-3.57836499054521,3.59897106379941
35,63.8057697813149,-3.57836499054521,3.59897106379941
36,64.251811956016,-3.57836499054521,3.59897106379941
37,64.7009722440521,-3.57836499054521,3.59897106379941
38,65.1532724429827,-3.57836499054521,3.59897106379941
39,65.6087345027457,-3.57836499054521,3.59897106379941
40,66.0673805267226,-3.57836499054521,3.59897106379941
41,66.5292327728116,-3.57836499054521,3.59897106379941
42,66.9943136545075,-3.57836499054521,3.59897106379941
43,67.4626457419892,-3.57836499054521,3.59897106379941
44,67.9342517632154,-3.57836499054521,3.59897106379941
45,68.4091546050275,-3.57836499054521,3.59897106379941
46,68.88737731426,-3.57836499054521,3.59897106379941
47,69.3689430988593,-3.57836499054521,3.59897106379941
48,69.8538753290099,-3.57836499054521,3.59897106379941
49,70.3421975382684,-3.57836499054521,3.59897106379941
50,70.8339334247055,-3.57836499054521,3.59897106379941
51,71.3291068520565,-3.57836499054521,3.59897106379941
52,71.827741850879,-3.57836499054521,3.59897106379941
53,72.3298626197192,-3.57836499054521,3.59897106379941
54,72.8354935262861,-3.57836499054521,3.59897106379941
