# scheme: N/A
# effective_scheme: N/A
# xGrid: N/A
# tGrid: N/A
# r: 0.05
# q: 0
# sigma: 0.25
# strike: 100
# maturity: 0.5
# mMatrixPolicy: N/A
# mesh: N/A
# lower_barrier: 95
# upper_barrier: 110
# n_monitoring: 5
# num_paths: 10000000
# min_price_threshold: 0.01
S0,price,standard_error,num_paths
93,0.140704879192507,0.000292868961240356,10000000
93.5,0.149228916961363,0.000301541907227766,10000000
94,0.15778881634023,0.000309780209208737,10000000
94.5,0.166381760159948,0.000317689614093295,10000000
95,0.173984358355798,0.000324860461063848,10000000
95.0001,0.173905802998073,0.000324442026874531,10000000
95.5,0.183163302093964,0.000333045460224654,10000000
96,0.189869993613389,0.000338983441520861,10000000
96.5,0.197812231004612,0.000345860006371994,10000000
97,0.204152088279061,0.000351040155547141,10000000
97.5,0.210370070891107,0.000356116771752095,10000000
98,0.216086951895781,0.000360806132938272,10000000
98.5,0.221009897132169,0.000364621223748047,10000000
99,0.225912700401442,0.000368855548276091,10000000
99.5,0.229670509610252,0.00037154625636221,10000000
100,0.232601732596374,0.000373801220684966,10000000
100.5,0.23553792284247,0.000376151341913328,10000000
101,0.236868336205105,0.000377045398330526,10000000
101.5,0.237500545681909,0.000377778541305686,10000000
102,0.238352178140308,0.00037827940170041,10000000
102.5,0.237864512076564,0.000377785197474617,10000000
103,0.236653869566249,0.000376837018983297,10000000
103.5,0.235072219575985,0.000375730954475731,10000000
104,0.232786822342415,0.000373848799537768,10000000
104.5,0.229970292818039,0.000371897509157528,10000000
105,0.226451105512555,0.000369002158135039,10000000
105.5,0.221826485907278,0.000365669929079979,10000000
106,0.217919092324189,0.000362545528599806,10000000
106.5,0.21201674565781,0.000357327904668838,10000000
107,0.20619582706086,0.000352535192870841,10000000
107.5,0.200726798499811,0.000348310423337913,10000000
108,0.194434972624766,0.000342960309508062,10000000
108.5,0.187769689597146,0.000337111898587187,10000000
109,0.181359110111358,0.000331849431159766,10000000
109.5,0.17448504362282,0.000325371693584457,10000000
109.9999,0.168131981892549,0.000319667848574864,10000000
110,0.167223647060396,0.000318966730938001,10000000
110.5,0.16017327930145,0.000312108418884887,10000000
111,0.153120765950955,0.000305406778379407,10000000
111.5,0.145856531464063,0.000298343158014803,10000000
112,0.13853718330128,0.000290858882681622,10000000
