# scheme: MilevTaglianiCN
# effective_scheme: MilevTaglianiCN
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: sweep
# sigmaMin: 0.001
# sigmaMax: 0.5
# nSigma: 50
# sweepSpacing: log
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
# h: 0.0069663033222105
sigma,a_eff,a_base,ratio
0.001,0.0151659318678266,5e-07,30331.8637356533
0.00113522257916955,0.0117683756101914,6.44365152128183e-07,18263.5196383965
0.00128873030425637,0.00913209023209681,8.30412898554353e-07,10997.0476710979
0.00146299573985187,0.00708654010866316,1.07017826741236e-06,6621.83145037887
0.00166082579710871,0.00549940300671312,1.37917116417089e-06,3987.46953937308
0.00188540694494507,0.00426801044441247,1.77737967402355e-06,2401.29360473147
0.00214035653482473,0.00331270628823752,2.29056304808346e-06,1446.24104148074
0.00242978106580613,0.00257169396920638,2.95191801387498e-06,871.1942395143
0.00275834232834177,0.0019970389958867,3.80422620016095e-06,524.95274750019
0.00313133249221269,0.00155156817535349,4.90262158839347e-06,316.477245363317
0.00355475934804711,0.001206464959377,6.31815701126415e-06,190.952038264654
0.00403544307541711,0.000939405363963099,8.14240040746594e-06,115.372042266767
0.00458112609616691,0.000733113878894862,1.04933581544907e-05,69.8645627168571
0.00520059778239154,0.000574245952172809,1.35231086471079e-05,42.4640492920701
0.00590383602774997,0.000452524759678429,1.74276399212792e-05,25.9659231957102
0.00670216796241643,0.00036007641954916,2.24595276982206e-05,16.032234710692
0.00760845240032191,0.000290920647714077,2.89442739639821e-05,10.0510604645359
0.0086372869573822,0.000240583906193596,3.73013629920823e-05,6.44973499345488
0.00980524317678694,0.000205810019559622,4.80713968779634e-05,4.28134052526291
0.0111311334485367,0.000184349539958028,6.19510659245663e-05,2.97572829791982
0.0126363140225283,0.000174814235170299,7.98382160379726e-05,2.18960597876028
0.0143450289958509,0.000176587286860338,0.000102889928445902,1.7162737843013
0.0162848008149319,0.000189783389924386,0.000132597368791003,1.43127568559463
0.0184868735823894,0.000215256171856911,0.000170882247425623,1.25967544961394
0.0209867163089815,0.000254653412075263,0.000220221130716835,1.15635321300163
0.0238245942165816,0.000310523633222323,0.000283805644792388,1.09414184996031
0.0270462172942158,0.000386480959609003,0.000365748934962968,1.05668375944317
0.0307034765535197,0.000487438907134292,0.000471351736236267,1.03412986451791
0.0348552798425585,0.000619928228049387,0.000607445266451532,1.02054993640954
0.0395685006805457,0.000792519371259354,0.000782833123053173,1.01237332443012
0.0449190553964412,0.00101637688620962,0.00100886076885428,1.00745010370845
0.0509931259210079,0.00130598163355104,0.00130014944559788,1.00448578274821
0.0578885479279642,0.00168006752083637,0.00167554199060411,1.00270093513481
0.0657163866831637,0.00216283335866367,0.00215932173934555,1.00162626034561
0.0746027259841646,0.0027855082296309,0.00278278336213418,1.00097918779227
0.0846906990048227,0.00358837163044948,0.00358625724896273,1.00058957886732
0.0961427937559269,0.00462335906585998,0.00462171839559735,1.00035499139545
0.109143470296169,0.00595742164461066,0.00595614855414541,1.00021374390744
0.123902131849133,0.00767685700252889,0.00767586913837993,1.00012869736718
0.140656497682378,0.0098928917107739,0.00989212517013642,1.00007748998565
0.159676432075945,0.0127488762832414,0.012748281480252,1.00004665750363
0.181268291053846,0.0164295582126569,0.0164290966707909,1.00002809295454
0.205779856891804,0.0211730328880978,0.0211726747512056,1.00001691505189
0.233605939881855,0.0272861454730651,0.0272858675740424,1.00001018472372
0.265194737582006,0.0351643400584373,0.0351641244205945,1.0000061323251
0.301055053980037,0.0453172400892721,0.0453170727634615,1.00000369233493
0.341764494851246,0.0584016148081885,0.0584014849704637,1.00000222319218
0.38797877131361,0.0752638642435711,0.0752637634950092,1.00000133860648
0.44044226143367,0.096994771005009,0.0969946928284025,1.0000008059885
0.5,0.125000060661727,0.125,1.00000048529382
