# scheme: MilevTaglianiCN
# effective_scheme: MilevTaglianiCN
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: sweep
# sigmaMin: 0.001
# sigmaMax: 0.5
# nSigma: 50
# sweepSpacing: log
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
sigma,lower,upper
0.001,308.921635009482,316.098971063826
0.00113522257916955,238.911352241058,246.088667572051
0.00128873030425637,184.587875974467,191.765164598649
0.00146299573985187,142.437137494792,149.614391701098
0.00166082579710871,109.73249628523,116.909706136175
0.00188540694494507,84.3583595228338,91.5355122116809
0.00214035653482473,64.673328933914,71.8504079562338
0.00242978106580613,49.4040222738362,56.5810063598698
0.00275834232834177,37.5627009713546,44.7395627101193
0.00313133249221269,28.383375447155,35.5600795132865
0.00355475934804711,21.2722548972333,28.4487557658644
0.00403544307541711,15.7693362442856,22.9455752461399
0.00458112609616691,11.518647529077,18.6945490552806
0.00520059778239154,8.2452208508484,15.4206874619539
0.00590383602774997,5.73730528585388,12.9122114086927
0.00670216796241643,3.83266917602811,11.0068529806525
0.00760845240032191,2.40810571232973,9.58135864358189
0.0086372869573822,1.37146295154306,8.54351623807096
0.00980524317678694,0.655682705485362,7.82618997350276
0.0111311334485367,0.214462691197355,7.38297755830934
0.0126363140225283,0.0192613359528018,7.18520853563974
0.0143450289958509,0.0574514843721765,7.22008965323721
0.0162848008149319,0.331503574928892,7.48987729549602
0.0184868735823894,0.859145447295008,8.01202344410969
0.0209867163089815,1.67450911811951,8.82030460919059
0.0238245942165816,2.83033870769514,9.96700675898438
0.0270462172942158,4.40140234353589,11.526307586578
0.0307034765535197,6.48932874956136,13.5990749051522
0.0348552798425585,9.22918138942878,16.3193915696363
0.0395685006805457,12.7981954311894,19.8632290078973
0.0449190553964412,17.4272427087022,24.4598304335218
0.0509931259210079,23.4157663234715,30.4065400957154
0.0578885479279642,31.1511509741485,38.0880378385672
0.0657163866831637,41.1337820386018,48.0012232119034
0.0746027259841646,54.0094144266239,60.7873588332831
0.0846906990048227,70.6109450746608,77.2735522860149
0.0961427937559269,92.0122912553058,98.5262599278622
0.109143470296169,119.597859973395,125.920273656622
0.123902131849133,155.152102274361,161.227653237908
0.140656497682378,200.97494554023,206.732357035935
0.159676432075945,260.030570839956,265.377986362473
0.181268291053846,336.139159420542,340.958200707788
0.205779856891804,434.224012006613,438.362121404877
0.233605939881855,560.63002652386,563.890598361658
0.265194737582006,723.534135884535,725.663798475038
0.301055053980037,933.474256171671,934.14648174382
0.341764494851246,1204.03096174112,1202.82494406118
0.38797877131361,1552.70598333609,1549.0794166584
0.44044226143367,2002.05435736565,1995.30835584164
0.5,2581.14346264641,2570.37735090378
