# scheme: ExponentialFitting
# effective_scheme: ExponentialFitting
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: 0.001
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
node,S,lower,upper
1,50.3495312228265,-4.44089209850063e-16,7.17733605434462
2,50.7015058871677,-4.44089209850063e-16,7.17733605434462
3,51.0559410742055,-4.44089209850063e-16,7.17733605434462
4,51.41285398453,-4.44089209850063e-16,7.17733605434462
5,51.7722619389743,-4.44089209850063e-16,7.17733605434462
6,52.1341823794548,-4.44089209850063e-16,7.17733605434462
7,52.4986328698179,-4.44089209850063e-16,7.17733605434462
8,52.8656310966921,-4.44089209850063e-16,7.17733605434462
9,53.2351948703466,-4.44089209850063e-16,7.17733605434462
10,53.6073421255554,-4.44089209850063e-16,7.17733605434462
11,53.9820909224679,-4.44089209850063e-16,7.17733605434462
12,54.3594594474852,-4.44089209850063e-16,7.17733605434462
13,54.7394660141426,-4.44089209850063e-16,7.17733605434462
14,55.1221290639985,-4.44089209850063e-16,7.17733605434462
15,55.5074671675294,-4.44089209850063e-16,7.17733605434462
16,55.8954990250308,-4.44089209850063e-16,7.17733605434462
17,56.2862434675252,-4.44089209850063e-16,7.17733605434462
18,56.6797194576755,-4.44089209850063e-16,7.17733605434462
19,57.0759460907057,-4.44089209850063e-16,7.17733605434462
20,57.474942595327,-4.44089209850063e-16,7.17733605434462
21,57.8767283346716,-4.44089209850063e-16,7.17733605434462
22,58.2813228072319,-4.44089209850063e-16,7.17733605434462
23,58.6887456478071,-4.44089209850063e-16,7.17733605434462
24,59.0990166284558,-4.44089209850063e-16,7.17733605434462
25,59.5121556594556,-4.44089209850063e-16,7.17733605434462
26,59.9281827902695,-4.44089209850063e-16,7.17733605434462
27,60.3471182105186,-4.44089209850063e-16,7.17733605434462
28,60.7689822509622,-4.44089209850063e-16,7.17733605434462
29,61.1937953844843,-4.44089209850063e-16,7.17733605434462
30,61.621578227087,-4.44089209850063e-16,7.17733605434462
31,62.0523515388913,-4.44089209850063e-16,7.17733605434462
32,62.4861362251443,-4.44089209850063e-16,7.17733605434462
33,62.9229533372339,-4.44089209850063e-16,7.17733605434462
34,63.3628240737104,-4.44089209850063e-16,7.17733605434462
35,63.8057697813149,-4.44089209850063e-16,7.17733605434462
36,64.251811956016,-4.44089209850063e-16,7.17733605434462
37,64.7009722440521,-4.44089209850063e-16,7.17733605434462
38,65.1532724429827,-4.44089209850063e-16,7.17733605434462
39,65.6087345027457,-4.44089209850063e-16,7.17733605434462
40,66.0673805267226,-4.44089209850063e-16,7.17733605434462
41,66.5292327728116,-4.44089209850063e-16,7.17733605434462
42,66.9943136545075,-4.44089209850063e-16,7.17733605434462
43,67.4626457419892,-4.44089209850063e-16,7.17733605434462
44,67.9342517632154,-4.44089209850063e-16,7.17733605434462
45,68.4091546050275,-4.44089209850063e-16,7.17733605434462
46,68.88737731426,-4.44089209850063e-16,7.17733605434462
47,69.3689430988593,-4.44089209850063e-16,7.17733605434462
48,69.8538753290099,-4.44089209850063e-16,7.17733605434462
